geometry,address,lokasi,coords,m_lon,m_lat,state,district,parlimen,dun_x,label,Lokasi,dun_y,h_lat,h_lon,distance,status
POINT (100.30517 5.358590000000049),USM,USM,"100.30517, 5.358590000000049",100.30517,5.35859,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SRK. MINDEN HEIGHTS, TMN. BROWN, TUN SARDON,KAMPONG INDIA.",N.35 Batu Uban,5.36616,100.31033,1.017,TRUE
POINT (100.30242 5.352820000000065),Sri Saujana,Taman Sri Saujana,"100.30242, 5.352820000000065",100.30242,5.35282,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SRK. MINDEN HEIGHTS, TMN. BROWN, TUN SARDON,KAMPONG INDIA.",N.35 Batu Uban,5.36616,100.31033,1.723,TRUE
POINT (100.2848964240001 5.406148588000065),"Timur Laut, Pulau Pinang",Tapak Pesta,"100.2848964240001, 5.406148588000065",100.2848964,5.406148588,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.23 Air Putih,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,0.849,FALSE
POINT (100.293581705585 5.335831899030643),"Lebuh Nipah, Taman Bukit Jambul, Bayan Lepas, Timur Laut, 11900, Pulau Pinang",Lebuh Nipah,"100.293581705585, 5.335831899030643",100.2935817,5.335831899,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SEKOLAH KEBANGSAAN SUNGAI NIBONG, SUNGAI NIBONG BESAR, SUNGAI NIBONG PANTAI",N.36 Pantai Jerejak,5.332312536,100.2953982,0.44,TRUE
POINT (100.2848964240001 5.406148588000065),"Timur Laut, Pulau Pinang",Flat Hamna,"100.2848964240001, 5.406148588000065",100.2848964,5.406148588,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.23 Air Putih,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,0.849,FALSE
POINT (100.29954 5.344980000000021),"Kampung Dua Bukit, Bayan Lepas, Timur Laut, Pulau Pinang",Kg. Dua Bukit JPJ Batu Uban,"100.29954, 5.344980000000021",100.29954,5.34498,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SEKOLAH KEBANGSAAN SUNGAI NIBONG, SUNGAI NIBONG BESAR, SUNGAI NIBONG PANTAI",N.36 Pantai Jerejak,5.332312536,100.2953982,1.481,TRUE
POINT (100.2978900000001 5.343700000000069),Klinik Kesihatan Sungai Dua,Klinik Kesihatan Sg. Dua,"100.2978900000001, 5.343700000000069",100.29789,5.3437,Pulau Pinang,Timur Laut,P.052 Bayan Baru,N.35 Batu Uban,hotspot,"SEKOLAH KEBANGSAAN SUNGAI NIBONG, SUNGAI NIBONG BESAR, SUNGAI NIBONG PANTAI",N.36 Pantai Jerejak,5.332312536,100.2953982,1.296,TRUE
POINT (100.2749200000001 5.337100000000021),"Relau, Bayan Lepas, Timur Laut, Pulau Pinang",Kawasan Relau,"100.2749200000001, 5.337100000000021",100.27492,5.3371,Pulau Pinang,Barat Daya,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI ARA, KAMPUNG BARU SUNGAI ARA",N.36 Pantai Jerejak,5.323346261,100.2829178,1.767,TRUE
POINT (100.2745700628844 5.339200049796702),"Jalan Paya Terubong, Relau, Bayan Lepas, Timur Laut, 11900, Pulau Pinang",Jalan Paya Terubong (SK Seri Relau),"100.2745700628844, 5.339200049796702",100.2745701,5.33920005,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI ARA, KAMPUNG BARU SUNGAI ARA",N.36 Pantai Jerejak,5.323346261,100.2829178,1.99,TRUE
POINT (100.2751751105651 5.384575042587045),"Jalan Paya Terubong, Paya Terubong, Timur Laut, 11060, Pulau Pinang",Persiaran Paya Terubong,"100.2751751105651, 5.384575042587045",100.2751751,5.384575043,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"DEWAN RUKUN TETENGGA, JLN ZOOKAMPUNG MELAYUFARLIM",N.33 Air Itam,5.39854,100.28557,1.933,TRUE
POINT (100.2749200000001 5.337100000000021),"Relau, Bayan Lepas, Timur Laut, Pulau Pinang",Sekolah Sri Relau,"100.2749200000001, 5.337100000000021",100.27492,5.3371,Pulau Pinang,Barat Daya,P.051 Bukit Gelugor,N.34 Paya Terubong,hotspot,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI ARA, KAMPUNG BARU SUNGAI ARA",N.36 Pantai Jerejak,5.323346261,100.2829178,1.767,TRUE
