area_type,dun,max_elevation,watercover,state,parlimen,population_total,sex_male,sex_female,housing_total,household_total
sla,N.40 Guchil,611.0,0.2282769401228665,Kelantan,P.031 Kuala Krai,30523,15187,15336,9098,7391
sla,N.41 Manek Urai,1345.0,0.0172249783447515,Kelantan,P.031 Kuala Krai,26121,13246,12875,6412,5399
sla,N.42 Dabong,1888.0,0.0419335211870293,Kelantan,P.031 Kuala Krai,17411,8864,8547,4910,3781
sla,N.43 Nenggiri,2230.0,0.0130090765180641,Kelantan,P.032 Gua Musang,32240,17206,15034,6695,5991
sla,N.30 Paloh,503.0,0.0320283016913906,Johor,P.153 Sembrong,32407,20261,12146,8629,8111
sla,N.44 Paloh,2200.0,0.0025793042343808,Kelantan,P.032 Gua Musang,30025,16681,13344,7081,5728
sla,N.45 Galas,2258.0,0.001540505425653,Kelantan,P.032 Gua Musang,50230,26367,23863,14591,10728
sla,N.01 Kuala Besut,353.0,0.4310895243307338,Terengganu,P.033 Besut,31190,16127,15063,8361,7174
sla,N.02 Kota Putera,139.0,0.2780374734402163,Terengganu,P.033 Besut,42507,21619,20888,11382,10155
sla,N.03 Jertih,679.0,0.0856881260996014,Terengganu,P.033 Besut,30749,15562,15187,8718,7387
sla,N.04 Hulu Besut,1494.0,0.1739504392135535,Terengganu,P.033 Besut,23379,11759,11620,6289,5489
sla,N.05 Jabi,1042.0,0.0597524360933432,Terengganu,P.034 Setiu,26343,13355,12988,6590,6140
sla,N.06 Permaisuri,1133.0,0.162570700274596,Terengganu,P.034 Setiu,37018,18710,18308,9276,8387
sla,N.07 Langkap,1219.0,0.007615319239094,Terengganu,P.034 Setiu,22633,11635,10998,6279,5376
sla,N.08 Batu Rakit,376.0,0.2504285350606737,Terengganu,P.034 Setiu,36396,18484,17912,10240,8454
sla,N.09 Tepuh,350.0,0.0343498784344799,Terengganu,P.035 Kuala Nerus,48746,24011,24735,12250,12628
sla,N.10 Buluh Gading,170.0,0.1360963560452051,Terengganu,P.035 Kuala Nerus,30891,15709,15182,8176,7172
sla,N.11 Seberang Takir,28.0,0.4669259428720831,Terengganu,P.035 Kuala Nerus,42502,20820,21682,11497,10152
sla,N.12 Bukit Tunggal,67.0,1.742238946378175,Terengganu,P.035 Kuala Nerus,22081,11289,10792,6100,5161
sla,N.13 Wakaf Mempelam,42.0,0.8402917895390346,Terengganu,P.036 Kuala Terengganu,38706,19269,19437,10221,9265
sla,N.14 Bandar,48.0,1.375036158518947,Terengganu,P.036 Kuala Terengganu,16383,8400,7983,5327,4863
sla,N.15 Ladang,167.0,0.0271472671145814,Terengganu,P.036 Kuala Terengganu,26323,13017,13306,8015,9794
sla,N.16 Batu Buruk,165.0,0.3103436725396932,Terengganu,P.036 Kuala Terengganu,47619,23946,23673,14072,12387
sla,N.17 Alur Limbat,51.0,0.3098059767267356,Terengganu,P.037 Marang,44464,22533,21931,11867,10086
sla,N.18 Bukit Payung,162.0,0.0119503994174715,Terengganu,P.037 Marang,36571,18390,18181,9869,8708
sla,N.19 Ru Rendang,240.0,0.3302339302044308,Terengganu,P.037 Marang,39800,20158,19642,11349,9391
sla,N.20 Pengkalan Berangan,392.0,0.0439677682449562,Terengganu,P.037 Marang,41477,21538,19939,12261,10114
sla,N.21 Telemung,1553.0,1.388942721562772,Terengganu,P.038 Hulu Terengganu,20491,10751,9740,6052,5052
sla,N.22 Manir,33.0,0.6418715534471549,Terengganu,P.038 Hulu Terengganu,20071,10207,9864,5334,4656
sla,N.23 Kuala Berang,161.0,0.3710608841976441,Terengganu,P.038 Hulu Terengganu,25716,13731,11985,7853,6169
sla,N.24 Ajil,1333.0,0.0045930437911937,Terengganu,P.038 Hulu Terengganu,25577,13598,11979,7544,6122
sla,N.25 Bukit Besi,1572.0,0.0251978730272996,Terengganu,P.039 Dungun,20958,11147,9811,5952,5569
sla,N.26 Rantau Abang,268.0,0.2357231157057847,Terengganu,P.039 Dungun,42521,21750,20771,11568,10392
sla,N.27 Sura,292.0,0.8261944337893705,Terengganu,P.039 Dungun,34961,16855,18106,9395,9888
sla,N.28 Paka,467.0,0.0938397652741181,Terengganu,P.039 Dungun,57785,30486,27299,14879,13310
